"year","column_number","variable_name","variable_label","value_labels","variable_class","example_values","block","question","subitem","activity_number","questionnaire_section","file_component","readable_description"
"2018-19",62,"b6q5_3pt2_Act1_per_fv","Industry Code (NIC) for activity 1","","character",", 01, 43, 41, 56, 36, 35, 02, 85, 49",6,5,2,1,"Block 6: current weekly activity and daily work details","Person file: first visit","Industry Code (NIC) for activity 1"
"2018-19",63,"b6q6_3pt2_Act1_per_fv","hours actuallly worked for activity 1 on 6 th day","","numeric","0, 4, 9, 3, 10, 8, 2, 6, 1, 11",6,6,2,1,"Block 6: current weekly activity and daily work details","Person file: first visit","hours actuallly worked for activity 1 on 6 th day"
"2018-19",64,"b6q9_3pt2_Act1_per_fv","wage earning for activity 1 on 7 th day","","numeric","0, 400, 300, 160, 350, 150, 500, 333, 225, 120",6,9,2,1,"Block 6: current weekly activity and daily work details","Person file: first visit","wage earning for activity 1 on 7 th day"
"2018-19",65,"b6q4_3pt2_Act2_per_fv","Status Code for activity 2","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character",", 11, 21, 31, 51, 12, 62, 72, 41, 42",6,4,2,2,"Block 6: current weekly activity and daily work details","Person file: first visit","Status Code for activity 2"
"2018-19",66,"b6q5_3pt2_Act2_per_fv","Industry Code (NIC) for activity 2","","character",", 47, 01, 94, 96, 41, 85, 31, 88, 49",6,5,2,2,"Block 6: current weekly activity and daily work details","Person file: first visit","Industry Code (NIC) for activity 2"
"2018-19",67,"b6q6_3pt2_Act2_per_fv","hours actuallly worked for activity 2 on 6 th day","","numeric","0, 6, 3, 4, 2, 8, 1, 5, 7, 9",6,6,2,2,"Block 6: current weekly activity and daily work details","Person file: first visit","hours actuallly worked for activity 2 on 6 th day"
"2018-19",68,"b6q9_3pt2_Act2_per_fv","wage earning for activity 2 on 6 th day","","numeric","0, 400, 250, 200, 150, 170, 100, 180, 220, 70",6,9,2,2,"Block 6: current weekly activity and daily work details","Person file: first visit","wage earning for activity 2 on 6 th day"
"2018-19",69,"b6q7_3pt2_per_fv","total hours actually worked on 6th day","","numeric","0, 4, 9, 3, 10, 8, 2, 6, 1, 11",6,7,2,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","total hours actually worked on 6th day"
"2018-19",70,"b6q8_3pt2_per_fv","hours available for aditional worked on 6th day","","numeric","0, 3, 2, 4, 5, 1, 8, 6, 7, 10",6,8,2,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","hours available for aditional worked on 6th day"
"2018-19",71,"b6q4_3pt3_Act1_per_fv","Status Code for activity 1","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character","51, 21, 11, 91, 95, 81, 31, 92, 93, 99",6,4,3,1,"Block 6: current weekly activity and daily work details","Person file: first visit","Status Code for activity 1"
"2018-19",72,"b6q5_3pt3_Act1_per_fv","Industry Code (NIC) for activity 1","","character","41, 01, 43, , 56, 36, 02, 85, 49, 47",6,5,3,1,"Block 6: current weekly activity and daily work details","Person file: first visit","Industry Code (NIC) for activity 1"
"2018-19",73,"b6q6_3pt3_Act1_per_fv","hours actuallly worked for activity 1 on5 th day","","numeric","9, 3, 0, 10, 4, 8, 5, 6, 11, 2",6,6,3,1,"Block 6: current weekly activity and daily work details","Person file: first visit","hours actuallly worked for activity 1 on5 th day"
"2018-19",74,"b6q9_3pt3_Act1_per_fv","wage earning for activity 1 on 5 th day","","numeric","400, 0, 300, 160, 350, 500, 333, 225, 120, 210",6,9,3,1,"Block 6: current weekly activity and daily work details","Person file: first visit","wage earning for activity 1 on 5 th day"
"2018-19",75,"b6q4_3pt3_Act2_per_fv","Status Code for activity 2","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character",", 11, 31, 21, 51, 42, 12, 72, 71, 62",6,4,3,2,"Block 6: current weekly activity and daily work details","Person file: first visit","Status Code for activity 2"
"2018-19",76,"b6q5_3pt3_Act2_per_fv","Industry Code (NIC) for activity 2","","character",", 47, 85, 01, 49, 96, 41, 42, 31, 86",6,5,3,2,"Block 6: current weekly activity and daily work details","Person file: first visit","Industry Code (NIC) for activity 2"
"2018-19",77,"b6q6_3pt3_Act2_per_fv","hours actuallly worked for activity 2 on 5 th day","","numeric","0, 2, 6, 8, 3, 5, 4, 1, 7, 9",6,6,3,2,"Block 6: current weekly activity and daily work details","Person file: first visit","hours actuallly worked for activity 2 on 5 th day"
"2018-19",78,"b6q9_3pt3_Act2_per_fv","wage earning for activity 2 on 5 th day","","numeric","0, 300, 400, 150, 120, 250, 200, 170, 100, 180",6,9,3,2,"Block 6: current weekly activity and daily work details","Person file: first visit","wage earning for activity 2 on 5 th day"
"2018-19",79,"b6q7_3pt3_per_fv","total hours actually worked on 5th day","","numeric","9, 3, 0, 10, 4, 8, 5, 11, 6, 2",6,7,3,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","total hours actually worked on 5th day"
"2018-19",80,"b6q8_3pt3_per_fv","hours available for aditional worked on 5th day","","numeric","0, 2, 4, 3, 5, 1, 6, 10, 9, 7",6,8,3,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","hours available for aditional worked on 5th day"
"2018-19",81,"b6q4_3pt4_Act1_per_fv","Status Code for activity 1","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character","51, 21, 11, 91, 95, 81, 72, 92, 93, 99",6,4,4,1,"Block 6: current weekly activity and daily work details","Person file: first visit","Status Code for activity 1"
"2018-19",82,"b6q5_3pt4_Act1_per_fv","Industry Code (NIC) for activity 1","","character","41, 01, 43, , 56, 36, 35, 02, 85, 49",6,5,4,1,"Block 6: current weekly activity and daily work details","Person file: first visit","Industry Code (NIC) for activity 1"
"2018-19",83,"b6q6_3pt4_Act1_per_fv","hours actuallly worked for activity 1 on 4th day","","numeric","9, 4, 0, 3, 10, 8, 6, 2, 1, 11",6,6,4,1,"Block 6: current weekly activity and daily work details","Person file: first visit","hours actuallly worked for activity 1 on 4th day"
"2018-19",84,"b6q9_3pt4_Act1_per_fv","wage earning for activity 1 on 4th day","","numeric","400, 0, 300, 160, 350, 333, 120, 40, 150, 500",6,9,4,1,"Block 6: current weekly activity and daily work details","Person file: first visit","wage earning for activity 1 on 4th day"
"2018-19",85,"b6q4_3pt4_Act2_per_fv","Status Code for activity 2","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character",", 11, 31, 21, 51, 42, 12, 72, 62, 41",6,4,4,2,"Block 6: current weekly activity and daily work details","Person file: first visit","Status Code for activity 2"
"2018-19",86,"b6q5_3pt4_Act2_per_fv","Industry Code (NIC) for activity 2","","character",", 01, 47, 85, 94, 49, 46, 42, 02, 56",6,5,4,2,"Block 6: current weekly activity and daily work details","Person file: first visit","Industry Code (NIC) for activity 2"
"2018-19",87,"b6q6_3pt4_Act2_per_fv","hours actuallly worked for activity 2 on 4th day","","numeric","0, 2, 6, 4, 1, 3, 5, 8, 7, 9",6,6,4,2,"Block 6: current weekly activity and daily work details","Person file: first visit","hours actuallly worked for activity 2 on 4th day"
"2018-19",88,"b6q9_3pt4_Act2_per_fv","wage earning for activity 2 on 4th day","","numeric","0, 250, 160, 400, 200, 150, 170, 350, 100, 180",6,9,4,2,"Block 6: current weekly activity and daily work details","Person file: first visit","wage earning for activity 2 on 4th day"
"2018-19",89,"b6q7_3pt4_per_fv","total hours actually worked on 4th day","","numeric","9, 4, 0, 3, 8, 6, 2, 10, 1, 11",6,7,4,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","total hours actually worked on 4th day"
"2018-19",90,"b6q8_3pt4_per_fv","hours available for aditional worked on 4th day","","numeric","0, 2, 3, 5, 4, 1, 9, 7, 6, 10",6,8,4,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","hours available for aditional worked on 4th day"
"2018-19",91,"b6q4_3pt5_Act1_per_fv","Status Code for activity 1","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character","51, 21, 11, 91, 95, 81, 31, 92, 93, 99",6,4,5,1,"Block 6: current weekly activity and daily work details","Person file: first visit","Status Code for activity 1"
"2018-19",92,"b6q5_3pt5_Act1_per_fv","Industry Code (NIC) for activity 1","","character","41, 01, 43, , 56, 36, 02, 85, 49, 47",6,5,5,1,"Block 6: current weekly activity and daily work details","Person file: first visit","Industry Code (NIC) for activity 1"
"2018-19",93,"b6q6_3pt5_Act1_per_fv","hours actuallly worked for activity 1 on 3rd day","","numeric","9, 3, 0, 10, 4, 8, 5, 6, 2, 11",6,6,5,1,"Block 6: current weekly activity and daily work details","Person file: first visit","hours actuallly worked for activity 1 on 3rd day"
"2018-19",94,"b6q9_3pt5_Act1_per_fv","wage earning for activity 1 on 3rd day","","numeric","400, 0, 300, 160, 350, 150, 333, 225, 210, 40",6,9,5,1,"Block 6: current weekly activity and daily work details","Person file: first visit","wage earning for activity 1 on 3rd day"
"2018-19",95,"b6q4_3pt5_Act2","Status Code for activity 2","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character",", 11, 21, 31, 51, 42, 12, 62, 72, 41",6,4,5,2,"Block 6: current weekly activity and daily work details","","Status Code for activity 2"
"2018-19",96,"b6q5_3pt5_Act2","Industry Code (NIC) for activity 2","","character",", 01, 94, 96, 16, 42, 85, 47, 46, 56",6,5,5,2,"Block 6: current weekly activity and daily work details","","Industry Code (NIC) for activity 2"
"2018-19",97,"b6q6_3pt5_Act2","hours actuallly worked for activity 2 on 3rd day","","numeric","0, 2, 3, 4, 5, 6, 8, 1, 7, 9",6,6,5,2,"Block 6: current weekly activity and daily work details","","hours actuallly worked for activity 2 on 3rd day"
"2018-19",98,"b6q9_3pt5_Act2","wage earning for activity 2 on 3 rd day","","numeric","0, 350, 160, 150, 200, 250, 170, 100, 180, 220",6,9,5,2,"Block 6: current weekly activity and daily work details","","wage earning for activity 2 on 3 rd day"
"2018-19",99,"b6q7_3pt5","total hours actually worked on 3rd day","","numeric","9, 3, 0, 10, 4, 8, 5, 6, 2, 7",6,7,5,NA,"Block 6: current weekly activity and daily work details","","total hours actually worked on 3rd day"
"2018-19",100,"b6q8_3pt5","hours available for aditional worked on 3rd day","","numeric","0, 2, 4, 3, 5, 1, 7, 9, 8, 6",6,8,5,NA,"Block 6: current weekly activity and daily work details","","hours available for aditional worked on 3rd day"
"2018-19",101,"b6q4_3pt6_Act1","Status Code for activity 1","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character","51, 21, 11, 91, 95, 81, 31, 92, 93, 99",6,4,6,1,"Block 6: current weekly activity and daily work details","","Status Code for activity 1"
"2018-19",102,"b6q5_3pt6_Act1","Industry Code (NIC) for activity 1","","character","41, 01, 43, , 56, 36, 35, 02, 85, 49",6,5,6,1,"Block 6: current weekly activity and daily work details","","Industry Code (NIC) for activity 1"
"2018-19",103,"b6q6_3pt6_Act1","hours actuallly worked for activity 1 on 2nd day","","numeric","9, 4, 0, 3, 10, 8, 7, 6, 2, 11",6,6,6,1,"Block 6: current weekly activity and daily work details","","hours actuallly worked for activity 1 on 2nd day"
"2018-19",104,"b6q9_3pt6_Act1","wage earning for activity 1 on 2nd day","","numeric","400, 0, 300, 160, 350, 333, 225, 120, 210, 40",6,9,6,1,"Block 6: current weekly activity and daily work details","","wage earning for activity 1 on 2nd day"
"2018-19",105,"b6q4_3pt6_Act2","Status Code for activity 2","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character",", 11, 31, 21, 51, 42, 12, 62, 72, 41",6,4,6,2,"Block 6: current weekly activity and daily work details","","Status Code for activity 2"
"2018-19",106,"b6q5_3pt6_Act2","Industry Code (NIC) for activity 2","","character",", 47, 94, 01, 41, 85, 42, 49, 86, 46",6,5,6,2,"Block 6: current weekly activity and daily work details","","Industry Code (NIC) for activity 2"
"2018-19",107,"b6q6_3pt6_Act2","hours actuallly worked for activity 2 on 2nd day","","numeric","0, 6, 2, 3, 4, 1, 5, 8, 7, 9",6,6,6,2,"Block 6: current weekly activity and daily work details","","hours actuallly worked for activity 2 on 2nd day"
"2018-19",108,"b6q9_Act2_3pt6","wage earning for activity 2 on 2nd day","","numeric","0, 350, 150, 200, 400, 170, 100, 180, 220, 70",6,9,6,2,"Block 6: current weekly activity and daily work details","","wage earning for activity 2 on 2nd day"
"2018-19",109,"b6q7_3pt6","total hours actually worked on 2nd day","","numeric","9, 4, 0, 3, 10, 8, 7, 6, 2, 11",6,7,6,NA,"Block 6: current weekly activity and daily work details","","total hours actually worked on 2nd day"
"2018-19",110,"b6q8_3pt6","hours available for aditional worked on 2nd day","","numeric","0, 2, 4, 3, 5, 1, 7, 6, 10, 9",6,8,6,NA,"Block 6: current weekly activity and daily work details","","hours available for aditional worked on 2nd day"
"2018-19",111,"b6q4_3pt7_Act1","Status Code for activity 1","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character","81, 21, 62, 91, 95, 11, 51, 31, 92, 93",6,4,7,1,"Block 6: current weekly activity and daily work details","","Status Code for activity 1"
"2018-19",112,"b6q5_3pt7_Act1","Industry Code (NIC) for activity 1","","numeric","1, 43, 41, 56, 36, 35, 2, 85, 49, 47",6,5,7,1,"Block 6: current weekly activity and daily work details","","Industry Code (NIC) for activity 1"
"2018-19",113,"b6q6_3pt7_Act1","hours actuallly worked for activity 1 on 1st day","","numeric","0, 3, 9, 10, 8, 4, 6, 2, 5, 11",6,6,7,1,"Block 6: current weekly activity and daily work details","","hours actuallly worked for activity 1 on 1st day"
"2018-19",114,"b6q9_Act1_3pt7","wage earning for activity 1 on 1st day","","numeric","0, 400, 300, 160, 350, 150, 333, 225, 200, 120",6,9,7,1,"Block 6: current weekly activity and daily work details","","wage earning for activity 1 on 1st day"
"2018-19",115,"b6q4_3pt7_Act2","Status Code for activity 2","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character",", 31, 11, 21, 12, 42, 62, 72, 51, 61",6,4,7,2,"Block 6: current weekly activity and daily work details","","Status Code for activity 2"
"2018-19",116,"b6q5_3pt7_Act2","Industry Code (NIC) for activity 2","","character",", 85, 01, 42, 11, 86, 47, 46, 56, 73",6,5,7,2,"Block 6: current weekly activity and daily work details","","Industry Code (NIC) for activity 2"
"2018-19",117,"b6q6_3pt7_Act2","hours actuallly worked for activity 2 on 1st day","","character","0, 6, 3, 1, 2, 4, 5, 8, 7, 10",6,6,7,2,"Block 6: current weekly activity and daily work details","","hours actuallly worked for activity 2 on 1st day"
"2018-19",118,"b6q9_Act2_3pt7","wage earning for activity 2 on 1st day","","numeric","0, 150, 250, 200, 170, 100, 70, 180, 130, 120",6,9,7,2,"Block 6: current weekly activity and daily work details","","wage earning for activity 2 on 1st day"
"2018-19",119,"b6q7_3pt7_per_fv","total hours actually worked on 1st day","","numeric","0, 3, 9, 10, 8, 4, 6, 2, 5, 11",6,7,7,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","total hours actually worked on 1st day"
"2018-19",120,"b6q8_3pt7_per_fv","hours available for aditional worked on 1st day","","numeric","0, 4, 2, 5, 1, 3, 8, 6, 7, 10",6,8,7,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","hours available for aditional worked on 1st day"
"2018-19",121,"b6q5_per_fv","Current Weekly Status (CWS)","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour in public works other than MGNR; 0 = worked as casual wage labour in MGNREG works; 0 = in other types of  work; 0 = had work in h.h. enterprise but did not work due to: sicknes; 0 = had work in h.h. enterprise but did not work due to other re; 0 = had regular salaried/wage employment but did not work due to; 0 = had regular salaried/wage employment but did not work due to; 0 = had regular salaried/wage employment but did not work due to; 0 = had regular salaried/wage employment but did not work due to; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.); 0 = had regular salaried/wage employment but did not work due to","haven_labelled/vctrs_vctr/character","51, 21, 11, 91, 95, 81, 31, 92, 93, 99",6,5,NA,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","Current Weekly Status (CWS)"
"2018-19",122,"b6q6_per_fv","Industry Code (CWS)","","character","41, 01, 43, , 56, 36, 35, 02, 85, 49",6,6,NA,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","Industry Code (CWS)"
"2018-19",123,"b6q7_per_fv","Occupation Code (CWS)","","character","931, 612, 713, , 512, 130, 829, 724, 342, 232",6,7,NA,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","Occupation Code (CWS)"
"2018-19",124,"b6q9_per_fv","Earnings For Regular Salarid/Wage Activity","","numeric","0, 10000, 35000, 6000, 22000, 42000, 30000, 7000, 4500, 48000",6,9,NA,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","Earnings For Regular Salarid/Wage Activity"
"2018-19",125,"b6q10_per_fv","Earnings For Regular Salarid/Wage Activity","","numeric","0, 8000, 5000, 22000, 18000, 2000, 1500, 14500, 1000, 13000",6,10,NA,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","Earnings For Regular Salarid/Wage Activity"
"2018-19",126,"NSS_per_fv","Ns count for sector x stratum x substratum x sub-sample","","numeric","1, 4, 9, 3, 2, 5, 7, 10, 8, 6",NA,NA,NA,NA,"","Person file: first visit","Ns count for sector x stratum x substratum x sub-sample"
"2018-19",127,"NSC_per_fv","Ns count for sector x stratum x substratum","","numeric","2, 8, 18, 6, 4, 10, 14, 20, 16, 12",NA,NA,NA,NA,"","Person file: first visit","Ns count for sector x stratum x substratum"
"2018-19",128,"MULT_per_fv","Sub-sample wise Multiplier","","numeric","184596, 69223, 969127, 553787, 415340, 3322720, 71630, 51733, 350193, 1337102",NA,NA,NA,NA,"","Person file: first visit","Sub-sample wise Multiplier"
"2018-19",129,"No_qtr_per_fv","Occurance of State x Sector x Stratum x SubStratum in 4 Quarters","","numeric","4, 3",NA,NA,NA,NA,"","Person file: first visit","Occurance of State x Sector x Stratum x SubStratum in 4 Quarters"
"2019-20",1,"FI_per_fv","File Identification","","character","FVP3",NA,NA,NA,NA,"","Person file: first visit","File Identification"
"2019-20",2,"b1q2_per_fv","Schdule","","character","104",1,2,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Schdule"
"2019-20",3,"quarter_per_fv","Quarter","","character","Q1, Q2, Q3, Q4",NA,NA,NA,NA,"","Person file: first visit","Quarter"
"2019-20",4,"visit_per_fv","Visit","","character","V1",NA,NA,NA,NA,"","Person file: first visit","Visit"
"2019-20",5,"b1q3_per_fv","Sector","0 = urban; 0 = rural","haven_labelled/vctrs_vctr/character","1, 2",1,3,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sector"
"2019-20",6,"state_per_fv","State/Ut Code","0 = Jammu & Kashmir; 0 = Himachal Pradesh; 0 = Punjab; 0 = Chandigarh; 0 = Uttrakhand; 0 = Haryana; 0 = Delhi; 0 = Rajasthan; 0 = Uttar Pradesh; 0 = Bihar; 0 = Sikkim; 0 = Arunachal Pradesh; 0 = Nagaland; 0 = Manipur; 0 = Mizoram; 0 = Tripura; 0 = Meghalaya; 0 = Assam; 0 = West Bengal; 0 = Jharkhand; 0 = Odisha; 0 = Chhattisgarh; 0 = Madhya Pradesh; 0 = Gujarat; 0 = Daman & Diu; 0 = D & N Haveli; 0 = Maharashtra; 0 = Andhra Pradesh; 0 = Karnataka; 0 = Goa; 0 = Lakshadweep; 0 = Kerala; 0 = Tamil Nadu; 0 = Puducherry; 0 = A & N Island; 0 = Telangana","haven_labelled/vctrs_vctr/character","14, 13, 21, 09, 29, 32, 18, 01, 19, 05",NA,NA,NA,NA,"","Person file: first visit","State/Ut Code"
"2019-20",7,"b1q4_per_fv","District Code","","character","06, 01, 08, 03, 19, 13, 02, 20, 18, 07",1,4,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","District Code"
"2019-20",8,"nss_region_per_fv","NSS-Region","","character","141, 131, 211, 091, 293, 321, 184, 012, 195, 192",NA,NA,NA,NA,"","Person file: first visit","NSS-Region"
"2019-20",9,"b1q5_per_fv","Stratum","","character","01, 03, 04, 02, 05, 06, 99",1,5,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Stratum"
"2019-20",10,"b1q6_per_fv","Sub-Stratum","","character","08, 07, 16, 06, 04, 03, 01, 10, 12, 05",1,6,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sub-Stratum"
"2019-20",11,"b1q11_per_fv","Sub-Sample","","character","2, 1",1,11,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sub-Sample"
"2019-20",12,"b1q12_per_fv","Fod Sub-Region","","character","MAN, 1310, 2111, 0931, 2912, 2113, 3211, 1821, 0932, 0111",1,12,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Fod Sub-Region"
"2019-20",13,"fsu_per_fv","FSU","","character","10002, 10003, 10012, 10014, 10016, 10017, 10018, 10026, 10030, 10040",NA,NA,NA,NA,"","Person file: first visit","FSU"
"2019-20",14,"b1q13_per_fv","Sample Sg/Sb No.","","character","1, 2",1,13,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sample Sg/Sb No."
"2019-20",15,"b1q14_per_fv","Second Stage Stratum No.","","character","1, 2, 3, 4",1,14,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Second Stage Stratum No."
"2019-20",16,"b1q15_per_fv","Sample Household Number","","character","01, 02, 03, 04, 05, 06, 07, 08",1,15,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sample Household Number"
"2019-20",17,"b4q1_per_fv","Person Serial No.","","character","01, 02, 03, 04, 05, 06, 07, 08, 09, 10",4,1,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Person Serial No."
"2019-20",18,"b4q4_per_fv","Relationship To Head","0 = self; 0 = spouse of head; 0 = married child; 0 = spouse of married child; 0 = unmarried child; 0 = grandchild-; 0 = father/mother/father-in-law/mother-in-law; 0 = brother/sister/brother-in-law/ sister-in-law/other relatives; 0 = servants/employees/other non-relatives","haven_labelled/vctrs_vctr/character","1, 2, 5, 3, 4, 6, 7, 8, , 9",4,4,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Relationship To Head"
"2019-20",19,"b4q5_per_fv","Sex","0 = female; 0 = transgender; 0 = male","haven_labelled/vctrs_vctr/character","1, 2, 3",4,5,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Sex"
"2019-20",20,"b4q6_per_fv","Age","","character","47, 45, 19, 18, 59, 55, 24, 22, 3, 80",4,6,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Age"
